This file was created by CMPT_BETA_RETS using the 202112 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on BETA.

The portfolios are constructed at the end of June. Beta is estimated using monthly returns for the past 60 months
 (requiring at least 24 months with non-missing returns). Beta is estimated using the Scholes-Williams method.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197105,   -3.22,   -4.57,   -2.93,   -3.42,   -4.96,   -4.06,   -2.35,   -3.72,   -5.57,   -3.67,   -2.20,   -4.24,   -2.45,   -5.69,   -4.12
197106,    1.35,   -0.30,    0.75,   -1.97,   -2.14,    1.33,    1.37,   -0.10,   -0.53,   -0.07,    1.53,   -3.97,    0.39,   -2.64,   -1.57
197107,   -2.47,   -4.22,   -4.51,   -6.29,   -8.94,   -1.38,   -3.76,   -3.46,   -5.17,   -3.85,   -5.48,   -6.14,   -6.47,   -6.33,  -11.71
197108,    1.01,    6.10,    6.30,    5.28,    8.63,   -0.05,    2.30,    7.22,    4.68,    5.21,    7.91,    4.66,    6.05,    9.09,    8.12
197109,   -0.18,   -0.48,   -1.16,   -0.04,   -1.98,   -0.47,    0.17,   -0.47,   -0.49,   -1.63,   -0.47,   -0.07,    0.01,   -0.89,   -3.22
197110,   -1.95,   -4.10,   -6.52,   -6.63,   -6.97,   -0.91,   -3.17,   -4.61,   -3.44,   -7.33,   -5.36,   -7.27,   -5.85,   -6.28,   -7.77
197111,    0.73,    0.13,   -0.94,   -0.70,   -1.69,    0.17,    1.41,   -0.17,    0.52,   -1.18,   -0.62,   -0.53,   -0.90,   -1.24,   -2.21
197112,    7.81,    8.88,   10.55,   10.35,   12.42,    7.23,    8.49,    8.26,    9.69,   10.45,   10.68,   10.12,   10.61,   11.63,   13.36
197201,    0.83,    1.91,    3.61,    6.28,   10.26,    0.74,    0.93,    0.03,    4.29,    3.17,    4.23,    6.15,    6.43,    7.71,   13.26
197202,    2.17,    3.19,    3.35,    5.20,    4.18,    1.37,    3.11,    3.97,    2.25,    3.98,    2.49,    3.61,    7.10,    4.51,    3.80
197203,   -0.11,    2.47,    0.77,   -0.71,    0.38,   -1.40,    1.36,    2.57,    2.36,    1.60,   -0.37,   -2.13,    0.92,    0.88,   -0.18
197204,    0.65,    0.04,    1.46,    2.04,    0.29,    0.06,    1.30,   -0.29,    0.44,    1.29,    1.71,    0.74,    3.49,    0.73,   -0.22
197205,    2.24,    1.17,    1.78,    0.98,    0.18,    2.06,    2.44,    0.09,    2.49,    2.66,    0.54,    0.06,    1.98,    0.27,    0.08
197206,   -0.40,   -2.47,   -2.53,   -3.77,   -7.15,   -1.17,    0.43,   -2.79,   -2.09,   -2.62,   -2.39,   -4.22,   -3.30,   -6.51,   -7.86
197207,    0.59,    0.20,   -0.80,   -3.26,   -5.14,    1.18,    0.13,    0.50,   -0.56,   -0.25,   -1.36,   -1.59,   -5.50,   -4.48,   -5.87
197208,    4.39,    3.75,    4.15,    1.86,   -0.47,    6.07,    3.06,    3.24,    5.06,    3.89,    4.42,    2.50,    0.95,   -0.38,   -0.57
197209,    0.79,   -0.95,   -2.28,   -3.67,   -3.83,    1.04,    0.59,   -0.75,   -1.44,   -0.94,   -3.67,   -2.97,   -4.65,   -3.14,   -4.60
197210,    2.28,   -0.20,   -0.26,    0.61,   -2.06,    3.50,    1.28,   -0.97,    1.75,    0.09,   -0.63,    0.94,    0.14,   -2.49,   -1.57
197211,    4.79,    4.63,    5.14,    6.77,    6.08,    4.67,    4.89,    4.11,    5.90,    5.36,    4.90,    7.49,    5.70,    7.06,    4.97
197212,    1.77,    0.99,    0.22,    0.13,   -3.03,    1.42,    2.07,    1.32,    0.18,   -0.54,    1.04,    2.06,   -2.74,   -1.68,   -4.58
197301,   -1.24,   -0.01,   -6.10,   -7.46,   -8.92,   -0.25,   -2.06,    1.65,   -4.08,   -5.88,   -6.34,   -6.24,   -9.38,   -7.65,  -10.43
197302,   -3.66,   -2.70,   -5.43,   -6.32,  -10.37,   -3.73,   -3.60,   -1.72,   -5.22,   -5.37,   -5.49,   -7.07,   -5.11,   -9.94,  -10.91
197303,    0.41,   -0.48,   -2.62,   -2.33,   -2.64,    1.26,   -0.30,   -1.05,    1.06,   -1.83,   -3.47,   -1.91,   -3.00,   -2.68,   -2.59
197304,   -2.19,   -5.66,   -6.82,   -7.41,   -9.90,   -0.59,   -3.54,   -5.76,   -5.40,   -4.79,   -9.02,   -7.07,   -7.96,   -9.18,  -10.80
197305,   -0.99,   -0.99,   -3.64,   -5.85,  -10.43,    0.42,   -2.24,   -0.93,   -1.16,   -3.51,   -3.78,   -5.11,   -7.06,   -8.88,  -12.37
197306,    0.36,   -0.62,   -3.42,   -3.48,   -5.47,    0.95,   -0.17,   -0.62,   -0.61,   -3.09,   -3.79,   -4.49,   -1.81,   -5.59,   -5.33
197307,    2.13,    4.72,   12.74,   11.00,   17.85,    1.76,    2.49,    4.31,    6.02,   11.95,   13.49,    9.77,   12.95,   15.93,   20.29
197308,   -3.36,   -2.42,   -2.01,   -4.59,   -4.59,   -3.84,   -2.88,   -3.03,   -0.51,   -1.70,   -2.29,   -4.03,   -5.46,   -4.45,   -4.76
197309,    4.25,    3.29,    9.67,    9.43,   12.36,    4.36,    4.13,    0.92,   10.52,    9.33,    9.98,    8.22,   11.34,   10.59,   14.53
197310,   -0.30,    1.13,    0.14,   -2.83,   -2.04,    1.74,   -2.30,    1.11,    1.16,    0.65,   -0.35,   -3.82,   -1.32,   -1.75,   -2.37
197311,   -8.89,  -10.71,  -17.45,  -18.72,  -23.93,   -8.28,   -9.51,  -10.77,  -10.54,  -17.71,  -17.20,  -18.55,  -18.98,  -23.15,  -24.85
197312,    2.65,    0.43,    1.44,   -0.85,   -0.03,    3.00,    2.29,   -0.87,    4.01,   -0.49,    3.26,   -2.03,    0.93,    1.45,   -1.84
197401,   -1.89,    0.55,    2.60,    4.59,    9.74,   -3.73,    0.03,    1.61,   -2.27,    2.37,    2.82,    5.14,    3.78,    8.22,   11.66
197402,   -0.10,   -0.22,    1.22,    0.84,    2.65,    0.02,   -0.22,   -0.32,    0.05,    1.76,    0.73,    0.82,    0.87,    3.65,    1.44
197403,   -1.83,   -2.31,   -2.87,   -2.74,   -3.39,   -1.71,   -1.95,   -2.08,   -2.93,   -3.47,   -2.32,   -3.51,   -1.60,   -3.48,   -3.27
197404,   -4.39,   -3.78,   -4.95,   -4.90,   -4.65,   -4.54,   -4.24,   -3.64,   -4.18,   -4.31,   -5.52,   -4.74,   -5.13,   -3.80,   -5.73
197405,   -2.73,   -2.63,   -5.15,   -7.59,   -5.63,   -3.62,   -1.83,   -2.10,   -4.11,   -4.22,   -6.00,   -8.72,   -5.93,   -4.80,   -6.69
197406,   -1.55,   -0.80,   -2.74,   -4.37,   -4.81,   -2.09,   -1.02,   -0.77,   -0.90,   -3.61,   -1.93,   -5.14,   -3.28,   -4.72,   -4.93
197407,   -6.72,   -7.95,   -7.27,   -8.11,   -9.07,   -6.19,   -7.52,   -8.75,   -5.61,   -5.85,   -8.85,   -6.62,   -9.90,   -8.89,   -9.29
197408,   -8.58,   -8.55,   -8.90,   -7.63,   -8.17,   -7.60,  -10.06,   -7.81,  -10.62,   -9.33,   -8.40,   -6.62,   -8.88,   -9.48,   -6.64
197409,  -10.30,  -11.83,  -12.03,  -12.21,  -10.89,   -9.85,  -11.00,  -12.05,  -11.21,  -11.41,  -12.74,  -12.52,  -11.82,   -8.32,  -13.80
197410,   18.59,   14.56,   17.72,   10.09,   10.27,   18.52,   18.71,   13.10,   18.74,   15.49,   20.29,   12.83,    6.64,    8.17,   12.79
197411,   -4.30,   -3.59,   -4.72,   -3.77,   -4.42,   -3.93,   -4.90,   -4.14,   -2.10,   -4.09,   -5.41,   -3.72,   -3.84,   -4.90,   -3.87
197412,   -1.42,   -2.54,   -5.13,   -4.36,   -7.87,   -0.52,   -2.85,   -2.22,   -3.39,   -4.77,   -5.52,   -3.26,   -5.82,   -6.87,   -9.00
197501,   10.26,   15.39,   18.22,   21.91,   32.57,    8.23,   13.54,   15.45,   15.20,   18.33,   18.09,   18.15,   27.10,   31.70,   33.58
197502,    5.54,    7.13,    5.84,    6.27,    8.09,    5.99,    4.85,    8.24,    4.11,    4.92,    6.86,    6.62,    5.81,    9.02,    7.04
197503,    0.55,    3.80,    6.34,    9.11,   11.02,   -0.45,    2.11,    3.15,    5.62,    5.87,    6.85,    7.59,   11.08,    8.34,   14.11
197504,    4.73,    3.37,    7.00,    6.39,    7.87,    3.44,    6.69,    2.52,    5.71,    6.53,    7.50,    6.28,    6.52,   10.35,    5.14
197505,    6.17,    4.06,    4.39,    8.14,    6.85,    7.06,    4.86,    3.67,    5.11,    4.83,    3.92,    7.79,    8.60,    6.50,    7.26
197506,    4.20,    5.48,    5.96,    8.40,    7.92,    4.20,    4.22,    5.12,    6.41,    6.43,    5.45,    7.24,    9.86,    6.77,    9.23
197507,   -5.02,   -6.82,   -6.45,   -7.01,   -7.67,   -4.82,   -5.35,   -5.44,   -7.94,   -5.66,   -7.48,   -7.61,   -6.32,   -7.61,   -7.76
197508,   -1.47,   -1.65,   -3.03,   -4.83,   -5.58,   -2.01,   -0.56,   -2.12,   -1.26,   -3.37,   -2.58,   -4.68,   -5.00,   -5.65,   -5.47
197509,   -3.26,   -3.14,   -4.70,   -4.94,   -4.45,   -2.25,   -4.92,   -3.19,   -3.09,   -4.06,   -5.52,   -4.65,   -5.28,   -4.86,   -3.91
197510,    4.44,    7.64,    6.19,    5.91,    6.07,    3.92,    5.30,    6.02,    8.98,    5.46,    7.16,    5.37,    6.54,    6.58,    5.39
197511,    2.01,    4.12,    2.83,    3.79,    4.72,    1.59,    2.71,    3.82,    4.36,    2.85,    2.80,    3.26,    4.41,    6.90,    1.76
197512,   -0.05,   -1.76,   -1.32,   -2.16,   -2.49,   -0.04,   -0.05,   -1.52,   -1.95,   -1.37,   -1.26,   -1.67,   -2.72,   -3.27,   -1.37
